predict_data,mse,rmse,mape,smooth,skip
"[56.822453  67.33881   48.45711   50.060287  60.649555  42.501827
 77.38718   75.21954   51.75684   80.696686  -2.1247108 49.661373 ]",2909.136,53.93640687261365,0.41619417,raw,8
"[63.261528 56.349567 64.85386  52.585457 80.654976 39.771725 71.91579
 72.77025  37.13567  62.61264   9.690011 62.971134]",11425.402,106.8896737002691,0.6099642,raw,8
"[74.503876 42.649822 66.35807  51.72383  95.70391  32.976032 80.8064
 78.01568  45.105347 81.401344 20.8643   62.627285]",8230.347,90.72125814651989,0.57244897,raw,8
"[63.58804   68.361305  37.930767  52.49469   69.109375  31.485096
 70.33302   71.71243   53.340958  74.37926    7.5682535 83.68064  ]",6676.93,81.7124848219735,0.57674146,raw,8
"[ 61.5974    54.645782  54.294525  64.50898  103.05806   48.209343
  72.62956   92.55332   44.61165   53.832253  23.731232  66.66938 ]",8365.057,91.46068357838247,0.58896047,raw,8
"[56.042835 62.52747  44.052376 58.1491   53.016014 63.29804  84.32361
 78.30784  66.38926  60.960682 37.70747  64.36795 ]",4574.1675,67.63259185088762,0.48296213,raw,8
"[ 64.497     34.665382  36.75536   79.75093   69.9569    32.152233
  76.288246 114.810074  61.971386  47.160652  34.931587  60.32476 ]",4605.519,67.86397455917793,0.4942803,raw,8
"[61.386433 60.295406 26.173784 42.88318  38.18751  69.210686 68.82029
 93.0316   28.848557 31.749025 37.421036 32.287945]",8895.919,94.31817929388004,0.64694524,raw,8
"[53.333645 67.120544 23.834625 43.516758 27.104994 73.65594  83.62736
 57.34889  67.953514 58.216946 26.45174  44.285187]",3643.0261,60.35748605638637,0.40398037,raw,8
"[64.81973   74.92348   47.64447   55.19569   66.21439   47.737045
 78.728615  83.51219   58.09102   77.4194    -2.4301465 64.45717  ]",480.00208,21.908949659792285,0.3099202,raw,8
"[52.65372  51.18085  60.984722 52.52154  87.82096  37.471497 88.51951
 74.81894  43.491364 80.85223  27.840736 67.47579 ]",441.514,21.012234711433226,0.23973377,raw,8
"[ 61.492573  52.273746  58.8815    52.160282 101.03016   30.434828
  75.49261   73.365166  45.83991   73.54944   22.197369  71.107475]",473.9011,21.76926945327511,0.3229966,raw,8
"[40.49598  43.656464 55.01987  69.870735 80.97216  27.668383 57.3738
 69.440674 62.31385  75.02024  24.49435  81.52279 ]",705.49786,26.561209757266916,0.2522802,raw,8
"[43.958878 68.83429  45.29188  28.797096 58.08842  41.372242 53.596462
 85.5608   20.303719 40.762554 13.511855 54.683838]",3597.2666,59.97721735427962,0.53584886,raw,8
