id,timestamp,raw,rolling3,rolling6,rolling9,rolling13,weighted3,weighted6,weighted9,weighted13
107,182612,113.6,87.93333333,74.81666667,67.16666667,58.62307692,90.06465962,77.49101314,70.02621513,62.70228189
108,182701,57.7,79.03333333,69.85,69.13333333,60.23846154,73.88232981,71.83643796,67.5609721,61.98767016
109,182702,79,83.43333333,72.01666667,71.92222222,64.05384615,76.44116491,73.88316997,69.84877768,64.4180031
110,182703,96.3,77.66666667,82.8,75.76666667,69.13846154,86.37058245,80.28797855,75.13902215,68.97257425
111,182704,76.7,84,81.51666667,74.56666667,70.32307692,81.53529123,79.26284182,75.45121772,70.07649225
112,182705,93.8,88.93333333,86.18333333,77.65555556,74.46153846,87.66764561,83.41631559,79.12097417,73.46556488
113,182706,94.4,88.3,82.98333333,84.63333333,77.57692308,91.03382281,86.55451113,82.17677934,76.45619854
114,182707,70.4,86.2,85.1,83.07777778,78.24615385,80.7169114,81.93893652,79.82142347,75.5910273
115,182708,89.4,84.73333333,86.83333333,85.7,78.39230769,85.0584557,84.07066895,81.73713878,77.56373772
116,182709,82.6,80.8,84.55,82.25555556,79.66923077,83.82922785,83.65047782,81.90971102,78.28320377
117,182710,93.5,88.5,87.35,86.23333333,84.43076923,88.66461393,86.46462701,84.22776882,80.45703183
118,182711,80.4,85.5,85.11666667,86.38888889,84.12307692,84.53230696,84.73187644,83.46221505,80.44888443
119,182712,76.8,83.56666667,82.18333333,84.22222222,84.96923077,80.66615348,82.46562603,82.12977204,79.92761522
120,182801,88,81.73333333,85.11666667,85.47777778,83,84.33307674,84.04687573,83.30381763,81.08081305
121,182802,107.3,90.7,88.1,86.97777778,86.81538462,95.81653837,90.69062552,88.10305411,84.82641121
122,182803,108.5,101.2666667,92.41666667,88.54444444,89.08461538,102.1582692,95.77901823,92.18244329,88.20835249
123,182804,101.9,105.9,93.81666667,92.04444444,89.51538462,102.0291346,97.52787017,94.12595463,90.16430214
124,182805,148.6,119.6666667,105.1833333,98.62222222,95.04615385,125.3145673,112.1199073,105.0207637,98.51225902
125,182806,163.4,137.9666667,119.6166667,107.6,100.4,144.3572836,126.7713623,116.696611,107.7819363
126,182807,90.4,134.1333333,120.0166667,107.2555556,100.0923077,117.3786418,116.3795445,111.4372888,105.2988026
127,182808,127.3,127.0333333,123.35,112.4666667,104.4692308,122.3393209,119.4996747,114.609831,108.4418308
128,182809,83.9,100.5333333,119.25,113.2555556,104.0461538,103.1196605,109.328339,108.4678648,104.9358549
129,182810,91.1,100.7666667,117.45,113.6,104.7,97.10983023,104.1202422,104.9942919,102.9593042
130,182811,95,90,108.5166667,112.2333333,104.8153846,96.05491511,101.5144587,102.9954335,101.8222608
131,182812,78.1,88.06666667,94.3,108.8555556,104.6384615,87.07745756,94.82461335,98.01634678,98.43336637
132,182901,71.6,81.56666667,91.16666667,105.4888889,104.2384615,79.33872878,88.18900954,92.73307743,94.60002831
133,182902,82.3,77.33333333,83.66666667,98.12222222,103.8,80.81936439,86.50643538,90.64646194,92.84288141
134,182903,120.6,91.5,89.78333333,93.36666667,104.8230769,100.7096822,96.24745385,96.63716955,96.80818407
135,182904,158.4,120.4333333,101,100.9222222,108.6615385,129.5548411,114.0053242,108.9897356,105.6070149
136,182905,112.3,130.4333333,103.8833333,99.25555556,109.4615385,120.9274205,113.5180887,109.6517885,106.5631556
137,182906,123.2,131.3,111.4,103.6222222,107.5076923,122.0637103,116.2843491,112.3614308,108.9398477
138,182907,151.5,129,124.7166667,110.3333333,106.5923077,136.7818551,126.3459636,120.1891446,115.0198695
139,182908,129.3,134.6666667,132.55,114.1444444,109.5846154,133.0409276,127.189974,122.0113157,117.0598881
140,182909,88,122.9333333,127.1166667,115.2444444,106.5615385,110.5204638,115.9928386,115.2090526,112.9084755
141,182910,95.3,104.2,116.6,117.8777778,107.4384615,102.9102319,110.080599,111.2272421,110.392979
142,182911,112.7,98.66666667,116.6666667,121.2555556,109.1,107.8051159,110.8289993,111.5217936,110.7225534
143,182912,94.1,100.7,111.8166667,118.3111111,109.0307692,100.952558,106.0492852,108.0374349,108.347903
144,183001,87,97.93333333,101.0666667,110.3777778,109.7153846,93.97627899,100.6066323,103.8299479,105.2982025
145,183002,120.1,100.4,99.53333333,111.2444444,113.4461538,107.0381395,106.1761659,107.0839583,107.412745
146,183003,141,116.0333333,108.3666667,113.2222222,117.9615385,124.0190697,116.1258328,113.8671667,112.2109243
147,183004,177.3,146.1333333,122.0333333,116.0888889,122.3230769,150.6595349,133.6041663,126.5537333,121.5093637
148,183005,110.5,142.9333333,121.6666667,114,118.6384615,130.5797674,127.0029759,123.3429867,119.9365975
149,183006,108.4,132.0666667,124.05,116.2666667,118.3384615,119.4898837,121.6878399,120.3543893,118.2885121
150,183007,73.2,97.36666667,121.75,113.8111111,114.4923077,96.34494186,107.8341714,110.9235115,111.8472961
151,183008,84.6,88.73333333,115.8333333,110.6888889,109.3461538,90.47247093,101.1958367,105.6588092,107.9548252
152,183009,103.4,87.06666667,109.5666667,111.7222222,107.3538462,96.93623546,101.8255976,105.2070473,107.3041359
153,183010,140.6,109.5333333,103.45,117.6777778,111.4,118.7681177,112.9039983,112.2856379,112.0606879
154,183011,135.4,126.4666667,107.6,119.3777778,114.4846154,127.0840589,119.3314274,116.9085103,115.3948754
155,183012,136.8,137.6,112.3333333,118.9111111,116.3384615,131.9420294,124.3224481,120.8868082,118.4527503
156,183101,79,117.0666667,113.3,107.9888889,115.1769231,105.4710147,111.3731772,112.5094466,112.8166431
