Site,Value
Beijing,-999
Beijing,-999
Beijing,50
Beijing,74
Beijing,90
Beijing,110
Beijing,111
Beijing,130
Beijing,113
Beijing,143
Beijing,138
Beijing,119
Beijing,73
Beijing,40
Beijing,44
Beijing,37
Beijing,39
Beijing,39
Beijing,44
Beijing,37
Beijing,34
Beijing,31
Beijing,41
Beijing,69
Beijing,85
Beijing,118
Beijing,129
Beijing,121
Beijing,125
Beijing,136
Beijing,139
Beijing,145
Beijing,148
Beijing,185
Beijing,283
Beijing,266
Beijing,225
Beijing,132
Beijing,81
Beijing,80
Beijing,77
Beijing,91
Beijing,110
Beijing,116
Beijing,133
Beijing,144
Beijing,152
Beijing,167
Beijing,182
Beijing,199
Beijing,218
Beijing,162
Beijing,151
Beijing,119
Beijing,135
Beijing,109
Beijing,95
Beijing,125
Beijing,140
Beijing,153
Beijing,161
Beijing,195
Beijing,189
Beijing,190
Beijing,216
Beijing,224
Beijing,199
Beijing,138
Beijing,93
Beijing,66
Beijing,63
Beijing,52
Beijing,-999
Beijing,28
Beijing,22
Beijing,15
Beijing,26
Beijing,19
Beijing,17
Beijing,15
Beijing,18
Beijing,12
Beijing,14
Beijing,11
Beijing,9
Beijing,10
Beijing,8
Beijing,9
Beijing,13
Beijing,16
Beijing,15
Beijing,12
Beijing,18
Beijing,11
Beijing,13
Beijing,10
Beijing,9
Beijing,11
Beijing,7
Beijing,10
Beijing,10
Beijing,6
Beijing,5
Beijing,5
Beijing,4
Beijing,7
Beijing,8
Beijing,6
Beijing,7
Beijing,10
Beijing,11
Beijing,17
Beijing,17
Beijing,16
Beijing,15
Beijing,13
Beijing,15
Beijing,24
Beijing,29
Beijing,28
Beijing,38
Beijing,46
Beijing,51
Beijing,58
Beijing,60
Beijing,65
Beijing,63
Beijing,60
Beijing,55
Beijing,53
Beijing,58
Beijing,89
Beijing,105
Beijing,91
Beijing,98
Beijing,93
Beijing,96
Beijing,73
Beijing,45
Beijing,42
Beijing,34
Beijing,33
Beijing,36
Beijing,61
Beijing,93
Beijing,91
Beijing,108
Beijing,87
Beijing,90
Beijing,99
Beijing,86
Beijing,49
Beijing,24
Beijing,12
Beijing,7
Beijing,4
Beijing,5
Beijing,8
Beijing,7
Beijing,10
Beijing,8
Beijing,13
Beijing,15
Beijing,9
Beijing,8
Beijing,9
Beijing,12
Beijing,11
Beijing,6
Beijing,5
Beijing,6
Beijing,9
Beijing,7
Beijing,7
Beijing,6
Beijing,7
Beijing,6
Beijing,4
Beijing,5
Beijing,10
Beijing,9
Beijing,13
Beijing,10
Beijing,13
Beijing,13
Beijing,14
Beijing,11
Beijing,12
Beijing,8
Beijing,11
Beijing,15
