Unnamed: 0,predict_data,mse,rmse,smooth,skip
1181,"[55.86157  31.657593 40.917927 43.596645 29.108973 58.594227 51.589855
 70.99708  69.41734  73.378456 60.292664 40.8801  ]",869.37573,29.485178181959068,weighted6,3
1182,"[48.690773 55.28019  50.252445 31.048075 28.05394  48.488808 54.82199
 62.954414 61.229927 61.10593  66.80713  37.727325]",722.8286,26.885472160281097,weighted6,3
1183,"[50.92875  56.66923  48.60717  42.548397 23.278193 45.865643 44.500553
 52.122074 61.627613 64.61834  60.09852  51.45705 ]",570.5048,23.885242761532563,weighted6,3
1184,"[58.496407 38.305725 69.47946  56.998955 44.79557  71.76352  40.00309
 34.8583   74.70366  61.449894 58.41967  65.29557 ]",841.2951,29.005087570639542,weighted6,3
1185,"[52.905613 57.70109  62.95875  51.569088 57.098656 70.344124 42.06251
 51.81281  53.942486 58.408566 55.836685 46.879845]",626.2178,25.0243436165167,weighted6,3
1186,"[66.93267  53.471043 47.411343 46.994133 70.07803  58.431896 31.080671
 59.310467 40.11745  75.47487  58.305042 35.20424 ]",675.1064,25.982809399242104,weighted6,3
1187,"[73.90566  65.39791  67.61533  44.923973 66.85131  60.13564  14.594151
 42.82606  30.149227 72.957466 84.36484  37.00537 ]",971.7707,31.17323677319968,weighted6,3
1188,"[ 68.30842   48.568638  81.41194   69.123604  53.274345  65.920044
  35.15368   21.566145  36.229477  82.386    116.185135  60.945087]",1558.9062,39.482986842436326,weighted6,3
1189,"[ 49.661285  67.22944   92.78603   78.775536  53.87559   43.01326
  38.548595  12.023751  31.655565  74.958084 107.74031   62.389404]",1431.9331,37.84089197506779,weighted6,3
1190,"[44.33522  35.73163  75.96597  70.09118  45.552074 43.098408 34.821545
 29.986883 10.698108 76.59315  93.33889  49.360973]",754.6365,27.470647509830837,weighted6,3
1191,"[44.896065 50.469246 92.39783  66.202805 48.485233 35.11377  30.666782
 23.383038 27.064188 72.09064  97.28185  54.341583]",758.60614,27.54280559668384,weighted6,3
1192,"[ 47.07722   29.567297 110.1362    59.68799   44.063007  48.682873
  34.86791   26.580036  32.9347    67.8848    88.03826   47.695442]",710.73065,26.659532101210416,weighted6,3
1193,"[ 25.451769  43.00463   86.03786   63.159615  25.765945  10.087026
  60.89547   22.58707   38.508682  47.27105  105.1109    56.542526]",897.3189,29.95528181625748,weighted6,3
1194,"[50.461002 52.225143 74.958    43.59403  32.750626 16.579765 41.19013
 26.271923 45.332905 60.738976 75.66549  50.285767]",533.48346,23.09726086514711,weighted6,3
1195,"[33.549587 35.2164   67.24824  45.838867 34.23321  31.267416 40.743835
 24.636202 54.301155 53.40819  95.06328  57.01636 ]",786.8792,28.05136737176605,weighted6,3
1196,"[57.904167 61.706123 77.2449   52.843025 31.772116 40.97026  62.167007
 28.572828 58.390247 51.914577 77.88135  58.292046]",995.0635,31.544626746285967,weighted6,3
1197,"[45.285587 43.22208  57.386417 48.685806 44.839184 39.17463  42.574123
 23.779642 49.118183 45.938004 50.877106 40.605865]",478.30923,21.870281996790546,weighted6,3
1198,"[46.59601  51.233227 58.094837 45.086685 46.20294  45.524734 37.26046
 52.75274  39.791447 69.1891   59.93541  48.335827]",781.45575,27.95453003560816,weighted6,3
1199,"[54.396053 40.50332  55.76555  49.45469  40.051964 32.2321   42.288624
 36.947342 61.901432 75.049644 76.67578  39.373665]",881.9119,29.697001974433903,weighted6,3
1200,"[31.106115 55.583477 54.854122 36.475037 37.861652 38.51209  57.852398
 41.714626 46.45581  76.18476  88.186066 40.46027 ]",890.49603,29.841180149498843,weighted6,3
1201,"[39.138466 36.67046  52.017    41.474842 25.5838   51.722206 67.293304
 34.018253 44.185516 60.473618 78.78503  44.6079  ]",714.252,26.725493712187177,weighted6,3
1202,"[28.477846 55.24694  65.1156   40.3374   20.336782 43.246265 70.31961
 43.25117  69.57012  52.03351  59.390812 47.51656 ]",819.4672,28.62633794464625,weighted6,3
1203,"[33.59797  33.164978 47.597343 26.613323 10.917525 17.808556 51.570152
 47.93379  70.43553  54.01528  58.677402 38.355103]",529.69,23.014995164922503,weighted6,3
1204,"[43.611427 43.14886  46.44427  20.678785 25.477888 39.261433 66.33609
 40.012478 84.95332  46.08186  54.279842 51.373516]",724.0677,26.9085058668868,weighted6,3
1205,"[44.333736 57.849068 34.642147 12.748221 31.699642 45.333527 65.4444
 35.841896 77.81738  37.555447 46.82232  41.062984]",593.5527,24.36293646791872,weighted6,3
1206,"[48.018364 64.8539   26.00576   9.902717 31.424786 39.98183  61.57383
 44.807472 73.15642  42.53537  51.454357 36.05645 ]",562.1258,23.70919217217304,weighted6,3
1207,"[55.36888  60.743668 28.580484 11.426102 35.20148  42.472836 47.172127
 44.020557 76.38146  52.045403 53.945286 36.32114 ]",483.14456,21.980549623873788,weighted6,3
1208,"[41.0959   51.07276  26.320637 21.205336 46.8126   61.349945 57.11099
 39.56428  67.60572  51.01554  60.884346 43.731373]",371.7402,19.280565444442285,weighted6,3
1209,"[35.538685 60.251617 19.771303 26.21378  42.720016 51.487026 58.80782
 40.104404 49.26625  42.495953 65.1859   39.30812 ]",275.7289,16.60508694206434,weighted6,3
1210,"[44.41901  48.141354 28.372438 20.045673 33.496517 38.535423 50.359974
 42.326534 60.507183 55.60282  55.71917  37.64446 ]",258.1373,16.066651753989827,weighted6,3
1211,"[32.196655 34.889397 45.153717 20.844982 28.19345  28.499308 63.261356
 36.330784 75.795364 50.111805 61.14969  57.12026 ]",472.46695,21.7363048714102,weighted6,3
1212,"[41.046696 51.166985 46.105614 16.078285 25.155441 34.455006 79.23211
 29.245123 82.79991  38.374416 42.458317 62.740993]",601.01166,24.515539107163107,weighted6,3
1213,"[50.209206 54.39333  20.228876  8.262044 31.155603 56.219547 90.99393
 48.71758  82.86444  35.17308  28.864313 47.56782 ]",730.4202,27.02628770384089,weighted6,3
1214,"[61.549866 66.506805 26.507439 -7.834069 43.364334 63.305202 56.772964
 67.37796  54.67252  28.247086 31.330578 23.005545]",591.7594,24.32610530713995,weighted6,3
1215,"[47.947033  60.680397  14.692051   3.9130185 40.431965  48.330997
 43.748302  66.01405   49.327522  21.737411  33.554653  32.49075  ]",337.38974,18.368171928372032,weighted6,3
1216,"[44.93091  58.245693  8.726771 25.74135  44.36042  25.417255 60.996216
 42.560074 65.90637  23.399412 56.84828  54.48164 ]",288.98157,16.999457855555644,weighted6,3
1217,"[35.57621  69.082664  7.401624 24.847197 43.897118 15.108101 64.550026
 37.694458 53.47425  35.16481  62.26095  63.599243]",427.52832,20.67675797393053,weighted6,3
1218,"[35.86365   45.221394   4.7966843 27.315897  40.56573   32.22264
 78.75432   32.961575  56.02447   40.791252  49.735947  60.65838  ]",418.26453,20.45151648086732,weighted6,3
1219,"[25.775316 42.821217 29.426712 28.482445 35.869125 48.18749  98.94753
 39.108307 87.150566 31.318832 27.173231 59.52419 ]",715.74536,26.753417750413217,weighted6,3
1220,"[34.77863   31.524323  25.595816  13.491054  32.47123   49.754772
 80.43493   48.36667   99.13253   31.670338   6.0151057 43.94143  ]",746.00415,27.31307654568824,weighted6,3
1221,"[50.47461  32.908176 29.145369  7.666234 32.154675 68.377426 82.98813
 64.66234  93.2939   28.610365  6.443131 30.849003]",853.50006,29.21472336057893,weighted6,3
1222,"[57.80014  57.44925  14.602188  8.075106 34.880592 56.031002 66.50749
 83.609406 71.82801  26.764273 21.574434 26.30828 ]",622.29846,24.945910725288478,weighted6,3
