Unnamed: 0,predict_data,mse,rmse,smooth,skip
10325,"[63.769653 59.66014  60.264732 63.415684 62.414646 64.379295 46.533676
 79.83887  55.538593 19.045696 63.29597  54.634792]",1441.922,37.97264801235637,rolling3,2
10326,"[67.395294 72.015945 56.764965 70.16443  61.209267 74.18454  57.225624
 89.10399  50.50368  15.272784 54.691864 45.40813 ]",1660.3232,40.7470642155665,rolling3,2
10327,"[64.06339  64.327805 62.946266 82.616776 58.027313 80.89941  44.84763
 77.0279   49.53801  26.967379 49.66449  30.138296]",1470.2091,38.34330588832049,rolling3,2
10328,"[65.81547  43.733253 62.53056  81.87978  50.543583 83.38546  25.354767
 61.322674 34.284996 24.401043 49.431377 27.995224]",1102.9335,33.21044220843329,rolling3,2
10329,"[61.485435 45.748405 74.39297  81.07623  64.223076 80.81231  36.94901
 48.814617 41.83617  39.51922  50.799526 30.441801]",1131.191,33.63318361438689,rolling3,2
10330,"[54.163723 68.138    73.439156 83.91844  39.28211  62.60794  40.790916
 75.90171  51.05025  21.0153   60.8276   40.905754]",1154.966,33.98478986815738,rolling3,2
10331,"[36.44557  61.45495  75.163345 75.426476 49.58605  56.34411  41.449398
 79.03428  66.10128  25.995611 79.495255 67.46014 ]",1198.6389,34.62136502241968,rolling3,2
10332,"[43.03656   64.56209   61.35211   66.688126  40.81147   56.052296
 48.597813  80.59385   41.31408   11.7110615 71.25395   72.889336 ]",935.0042,30.577838566938983,rolling3,2
10333,"[39.591248  62.262703  50.85318   58.777443  42.095043  41.974224
 72.015144  62.511597  51.18659    4.4567184 53.376522  60.3056   ]",654.63055,25.585749045107487,rolling3,2
10334,"[48.69576   76.0099    43.602028  63.106907  43.685184  59.94307
 64.78245   72.93243   37.281906   2.2774658 61.74618   40.042034 ]",759.0999,27.551767902455573,rolling3,2
10335,"[51.822697 79.29506  30.25792  59.60377  36.118027 70.4141   59.252808
 63.731686 35.080696 19.081785 61.6078   49.289955]",708.919,26.62553297772002,rolling3,2
10336,"[59.989876 72.32078  32.728962 50.83492  33.41386  72.48401  67.02132
 59.43741  30.913124 31.921535 48.405598 44.14321 ]",635.1296,25.20177727138939,rolling3,2
10337,"[54.339436 39.948994 26.258291 53.065353 27.40441  66.61089  61.942936
 62.71343  32.041546 32.475952 35.06465  38.08771 ]",443.922,21.069456496794416,rolling3,2
10338,"[44.16588  31.757854 44.87882  68.38317  33.422607 74.89663  39.4473
 59.751545 29.889894 43.053444 27.36927  34.494553]",516.9381,22.73627300925907,rolling3,2
10339,"[48.910892 26.768702 37.169952 72.46893  39.760593 77.990845  9.557552
 70.880974 24.340916 46.880524 43.72538  37.15621 ]",699.0058,26.438717789254525,rolling3,2
10340,"[47.001404 23.066381 65.37585  60.122272 44.51079  61.645355 12.416131
 52.467945 44.003304 58.13226  53.832417 27.597027]",573.2797,23.943260515666903,rolling3,2
10341,"[39.819725 38.995296 76.27288  49.252754 51.48832  65.63719  19.115566
 59.7883   47.579105 43.1047   63.739933 25.0702  ]",630.20074,25.1037994062434,rolling3,2
10342,"[42.687904 52.99815  84.99851  38.72751  56.496574 51.08019  40.96037
 69.27886  60.231865 25.24247  80.27322  22.747223]",808.8344,28.44001426900299,rolling3,2
10343,"[47.060333  55.508095  88.15027   43.02283   57.53313   51.436974
 47.251545  71.765564  48.295223  14.7157345 81.45296   15.436408 ]",830.7014,28.821891263684016,rolling3,2
10344,"[33.952038 70.632484 63.988865 53.743107 52.533028 47.27979  56.847046
 83.68156  42.88512  18.747198 61.767456 27.742218]",617.014,24.839766042593503,rolling3,2
10345,"[27.078062 74.90304  61.584198 63.10836  48.088432 38.050625 52.75658
 77.45528  40.787415 10.864676 49.60098  29.33992 ]",553.99274,23.53705029982317,rolling3,2
10346,"[38.33483   68.16683   29.666847  51.092308  54.905807  35.813797
 45.68755   65.32159   37.728355   5.7402177 53.52943   36.547047 ]",342.66696,18.511265804096755,rolling3,2
10347,"[50.654835 76.939865 28.514692 44.185947 50.595257 29.527512 55.924355
 63.664062 42.15678  16.889261 54.59755  31.552128]",386.7446,19.6658231047844,rolling3,2
10348,"[57.60562  66.951256 35.88286  23.154154 40.731583 26.934067 60.378426
 56.33206  42.080933 20.14801  60.749218 24.208271]",344.2356,18.55358713842488,rolling3,2
10349,"[55.62065  54.92008  27.20967  13.43885  40.267628 42.580215 61.992836
 57.51886  41.37405  21.055643 45.028545 18.988256]",356.79346,18.888977130359653,rolling3,2
10350,"[54.298416 47.86384  36.727844 26.358152 33.518917 49.676918 54.54185
 48.54637  41.837574 27.483038 36.12641   8.619455]",386.86752,19.668948197434435,rolling3,2
10351,"[51.80265  31.117577 36.63433  31.079292 38.266663 45.35763  34.349842
 58.865097 34.80844  30.919594 42.813824  7.029704]",373.58456,19.32833578477424,rolling3,2
10352,"[43.08422   27.570715  64.575806  39.710228  41.14365   49.295204
 25.90512   53.982754  40.9325    52.773556  33.170235   5.9811406]",343.33728,18.529362651571088,rolling3,2
10353,"[38.728954 40.824703 72.06123  43.664326 45.004524 55.54916  21.788675
 66.779106 39.340366 48.081516 49.01329  14.111603]",259.5954,16.11196443482975,rolling3,2
10354,"[36.778877 42.98831  72.26723  34.4762   60.302773 40.813198 33.492043
 76.58967  50.535606 39.315517 68.17807  31.489925]",286.40057,16.923373591883763,rolling3,2
10355,"[41.152016 51.710526 72.07517  28.695429 63.507324 33.519806 40.681797
 74.1146   47.037785 23.31752  74.7363   33.74789 ]",355.8298,18.86345152581565,rolling3,2
10356,"[38.327217 70.7967   56.518753 27.491932 59.572712 24.154663 55.698742
 68.3831   51.774742 13.046182 60.017235 32.710453]",329.6369,18.155905426485035,rolling3,2
10357,"[40.6741    79.82216   55.716473  34.85335   54.07869   23.611422
 51.30316   58.721992  48.838657   6.6938167 57.028095  19.475567 ]",349.82776,18.70368302738962,rolling3,2
10358,"[53.28609  76.46753  38.730907 30.330921 55.91953  33.801826 48.18728
 52.176075 40.638603  8.778643 63.95462  13.837188]",339.04434,18.41315676468909,rolling3,2
10359,"[65.810196 75.76174  39.651283 29.625395 45.74451  28.067648 68.2681
 64.96954  46.815647 13.981533 59.885307 13.110832]",487.44336,22.07811947098303,rolling3,2
10360,"[56.65645  56.288914 59.677845 40.839825 40.180847 39.730003 73.02027
 58.504173 45.007614 35.01612  45.288414 17.67174 ]",330.20847,18.171639044846007,rolling3,2
10361,"[43.940834 45.816227 39.167046 53.105824 46.192726 44.32989  45.05363
 75.43325  32.627373 34.3178   43.435684 48.405586]",267.08252,16.342659499948287,rolling3,2
