,timestamp,value,
349,184702,103.4615385,
350,184703,107.9307692,
351,184704,105.4769231,
352,184705,106.2615385,
353,184706,109.5153846,
354,184707,107.8769231,
355,184708,119.9384615,
356,184709,133.5461538,
357,184710,142.9307692,
358,184711,153.5538462,
359,184712,159.8615385,
360,184801,171.8692308,
361,184802,178.1769231,
362,184803,186.3538462,
363,184804,189.0923077,
364,184805,196.4692308,
365,184806,203.3307692,
366,184807,210.2384615,
367,184808,220.5307692,
368,184809,215.3769231,
369,184810,211.7153846,
370,184811,203.2846154,
371,184812,205.9230769,
372,184901,214.8230769,
373,184902,213.6769231,
374,184903,213.3923077,
375,184904,214.4307692,
376,184905,212.4769231,
377,184906,211.2230769,
378,184907,206.0923077,
379,184908,198.1384615,
380,184909,194.8384615,
381,184910,192.4076923,
382,184911,189.9153846,
383,184912,189.4,
384,185001,180.3538462,
385,185002,170.4692308,
386,185003,163.2769231,
387,185004,155.6692308,
388,185005,149.6923077,
389,185006,148.1384615,
390,185007,141.9923077,
391,185008,139.5923077,
392,185009,142.2923077,
393,185010,138.9769231,
394,185011,136.5461538,
395,185012,130.9846154,
396,185101,127.8461538,
397,185102,131.8384615,
398,185103,128.2230769,
399,185104,124.4153846,
400,185105,127.1153846,
401,185106,127.3461538,
402,185107,122.3923077,
403,185108,125.0615385,
404,185109,125.9769231,
405,185110,122.5153846,
406,185111,119.5846154,
407,185112,122,
408,185201,123.0769231,
409,185202,121.7461538,
410,185203,115.2923077,
411,185204,115.4076923,
412,185205,115.1769231,
413,185206,112.8769231,
414,185207,109.8,
415,185208,110.3153846,
416,185209,107.4076923,
417,185210,107.3307692,
418,185211,106.1307692,
419,185212,105.3076923,
420,185301,100.8769231,
421,185302,97.15384615,
422,185303,92.95384615,
423,185304,90.96923077,
424,185305,86.47692308,
425,185306,84.3,
426,185307,84.16153846,
427,185308,85.37692308,
428,185309,84.48461538,
429,185310,85.2,
430,185311,79.56923077,
431,185312,75.06153846,
432,185401,70.69230769,
433,185402,67.62307692,
434,185403,64.38461538,
435,185404,62.74615385,
436,185405,59.3,
437,185406,57.31538462,
438,185407,54.2,
439,185408,49.80769231,
440,185409,45.71538462,
441,185410,42.66923077,
442,185411,40.59230769,
443,185412,39.54615385,
444,185501,37.92307692,
445,185502,37.33076923,
446,185503,36.94615385,
447,185504,34.56153846,
448,185505,32.02307692,
449,185506,29.28461538,
450,185507,26.25384615,
451,185508,23.97692308,
452,185509,21.66153846,
453,185510,19.79230769,
454,185511,18.54615385,
455,185512,14.87692308,
456,185601,11.79230769,
457,185602,10.70769231,
458,185603,9.1,
459,185604,7.515384615,
460,185605,6.869230769,
461,185606,6.292307692,
462,185607,6.2,
463,185608,7.015384615,
464,185609,7.207692308,
465,185610,7.861538462,
466,185611,7.584615385,
467,185612,8.030769231,
468,185701,9.584615385,
469,185702,10.6,
470,185703,10.65384615,
471,185704,12.22307692,
472,185705,15.43846154,
