,value
102,29.689917972460016
103,31.514219417386478
104,31.518528185815413
105,34.17415943697666
106,35.76201650203059
107,39.669262558179135
108,40.5741760335031
109,42.50230212945881
110,45.201276081098406
111,46.78126701197724
112,49.13937054358154
113,51.408954973828436
114,52.36111894355531
115,54.2179013680872
116,55.64052800290111
117,57.53796383862267
118,58.68362520659516
119,59.59137056896765
120,61.014671850093976
121,63.33337971887681
122,65.5958277442574
123,67.41417979596976
124,71.48014831811055
125,76.08332267549831
126,76.80021910374289
127,79.32876850040728
128,79.55763622211948
129,80.13548873157882
130,80.87961262839472
131,80.7404724206182
132,80.28295031517139
133,80.38390729536322
134,82.39669110398944
135,86.20040974102014
136,87.50654836007918
137,89.29272679435712
138,92.40558355793296
139,94.25170902301727
140,93.93889746636196
141,94.00699935698658
142,94.94225949891154
143,94.9001204093099
144,94.5048816964207
145,95.78535378219793
146,98.04728794217219
147,102.01192477501507
148,102.43653214889734
149,102.73484143773294
150,101.25745998880143
151,100.42424442247615
152,100.57309033780523
153,102.57517870055479
154,104.21699850660683
155,105.84669432528483
156,104.50393243479853
157,103.45841983355882
158,106.07625045574864
159,105.31723090461686
160,103.22082613958807
161,100.83919856229042
162,99.56694110972276
163,99.16850553668897
164,97.3697006137569
165,96.35601233665028
166,95.16298447569012
167,92.81941117538297
168,90.75308540423997
169,90.84544621747655
170,90.89818208828531
171,88.59293321942795
172,87.60814867094285
173,85.45245449331004
174,82.34443902054
175,78.96681159246735
176,75.7030988011018
177,73.67772442546385
178,71.18358149188639
179,69.91427830513537
180,67.35332650109666
181,65.23047284220883
182,62.94875791499435
183,60.03108764949899
184,58.10438749267485
185,55.28396539426251
186,53.09961797020626
187,50.919495649148566
188,49.338423432113515
189,47.49639442011259
190,45.611469865004274
191,44.16081972480016
192,42.362688482326284
193,41.74952481965966
194,39.98696873399814
195,38.1075394151581
196,36.94211479752437
197,35.74996275503578
198,34.68242522777172
199,33.2782547464639
200,32.574318568042784
201,33.010616441937536
202,33.90511250238097
203,35.08489056065192
204,33.95061526757419
205,34.288093199965985
206,34.208686596206455
207,37.61833155651322
208,39.367453620156134
209,40.159097553637714
210,43.13120193365347
211,45.899694275155355
212,52.00481941707261
213,57.33466955632036
214,62.8030248823685
215,66.12792493352207
216,70.20158839140498
217,75.66158499366574
218,80.06356397005838
219,87.96048500337592
220,92.84751909263119
221,98.60020837759994
222,103.40024967281784
223,107.21027618477474
224,109.77478731090376
225,115.73110296433421
226,120.01958544852833
227,131.20869945377527
228,140.3183366261618
229,147.93247708106497
230,151.75088051896597
231,155.67836316103333
232,157.1994548149337
