id,predict_data,mse,rmse,norm_corr,smooth,skip
10,"[105.63347   105.7163    103.71762   103.31441   104.270805  104.554436
 107.45967   108.12265   109.30756   107.45036   104.15214   102.40236
 103.999954  102.93095   100.176445   99.96799    99.0691     96.83222
  96.50435    96.80619    95.69274    92.21315    89.635284   88.171104
  87.103935   86.4896     85.139656   82.531425   80.48863    79.158455
  77.53791    75.968475   75.07432    72.015175   69.65804    68.79958
  67.64371    65.84928    65.98215    62.667957   60.76874    59.99735
  57.619473   57.480408   57.116993   54.336655   52.453033   49.61964
  48.36016    46.283928   46.47888    44.255333   42.156593   40.446487
  38.401775   36.08809    34.579098   32.92668    31.21199    29.62532
  28.2368     26.968594   26.79608    25.405056   23.140835   21.384867
  20.286034   18.72555    18.749533   18.264486   18.231848   17.917728
  17.23529    15.79181    15.203563   12.55601    10.39451     8.625772
   7.7308035   7.174058    7.251344    7.2549047   7.5336857   7.6991787
   7.554431    6.81176     7.785457    8.946826    9.88322    10.834795
  11.1566     13.257232   15.126581   16.107103   16.71687    19.037163
  22.224194   25.031223   27.24119    28.730034   30.535318   33.015125
  35.569645   39.486496   41.72118    44.017815   48.501144   50.3678
  54.278824   58.916595   59.441975   63.900425   65.96378    68.50019
  70.50624    72.76796    74.59516    77.406494   81.54311    84.79087  ]",168.1133877,12.96585469,0.994836766,weighted13,6
11,"[103.759476 103.29076  100.71921   99.742355 100.02963   99.51373
 101.56001  101.595474 102.49689  100.11896   96.24056   93.938805
  94.69321   93.30307   90.41265   89.71419   88.30519   85.66846
  84.80491   84.64466   83.45367   79.70122   76.74767   74.98108
  73.5335    72.733795  71.31659   68.49537   66.292816  64.840065
  63.01533   61.198162  60.20215   57.057087  54.721687  53.91048
  52.79828   50.864376  50.99423   47.73163   45.90916   45.140427
  42.935738  42.861008  42.621723  40.03085   38.430687  35.711716
  34.63538   32.676605  33.119255  31.144167  29.340761  27.93765
  26.024298  24.1931    22.647928  21.36179   20.011436  18.609982
  17.673687  16.845472  17.02079   16.178768  14.399982  13.114709
  12.573977  11.506172  11.913588  12.002718  12.580587  12.826021
  12.839901  12.067608  12.070542  10.155622   8.689508   7.70541
   7.762643   8.045422   8.691074   9.508922  10.641089  11.541193
  12.192434  12.451656  13.976866  15.923197  17.624252  19.34198
  20.425486  23.220514  25.428652  27.1213    28.486498  31.37828
  35.234795  38.36352   40.90477   42.914333  45.296535  48.20539
  50.909153  55.125374  57.38113   59.83742   64.33198   66.275345
  70.09467   74.65458   75.061584  79.30024   80.98758   83.24833
  84.80345   86.74608   88.223564  90.48743   93.90934   96.69411 ]",222.5161906,14.91697659,0.993219189,weighted13,6
12,"[113.96273   113.09432   109.675835  108.10073   107.92018   106.588776
 107.74317   107.1269    107.53032   104.58321   100.094086   97.07806
  96.840645   95.0032     91.73235    90.58149    88.50842    85.3625
  83.67234    82.6736     81.34253    77.2246     73.66431    71.35281
  69.185036   67.961075   66.407776   63.160645   60.494865   58.645973
  56.24403    53.960087   52.910458   49.47294    46.883003   45.91632
  44.45642    42.206097   42.34065    38.99955    36.983837   36.154507
  33.75731    33.487225   33.393208   30.842457   29.259346   26.63399
  25.353926   23.20934    23.921011   22.081629   20.365854   19.162128
  16.978228   15.314271   13.67659    12.730916   11.555188   10.150148
   9.39312     8.761223    9.280211    9.043951    7.5928392   6.650973
   6.4367275   5.683334    6.4352937   7.2185984   8.292486    9.02647
   9.571875    9.437034   10.126988    9.177762    8.429264    8.329444
   9.25715    10.310432   11.531393   13.492742   15.636512   17.264862
  18.646585   20.181389   22.25347    25.38911    28.024828   30.715656
  32.64546    36.21326    38.813396   41.70192    44.044514   47.7815
  52.547676   56.308502   59.365368   62.39399    65.70758    69.37999
  72.61123    77.495834   79.934906   83.13411    87.91326    90.46187
  94.47539    99.264915   99.917915  104.38556   106.213715  108.56233
 110.06452   112.08816   113.40734   115.52518   118.548996  121.298225 ]",139.3505478,11.8046833,0.991273786,weighted13,6
13,"[120.39887   119.05374   114.85721   112.78675   112.07033   109.86897
 109.93342   108.62117   108.57013   105.28981   100.428505   96.864296
  95.55092    93.48178    90.14982    88.69337    86.11425    82.68613
  80.26425    78.58058    77.386475   73.258484   69.29929    66.64148
  63.900105   62.41043    60.84248    57.39931    54.45243    52.33537
  49.540634   46.909184   45.810146   42.300007   39.648888   38.63749
  37.025772   34.589043   34.598976   31.405054   29.310192   28.404295
  26.02344    25.592056   25.64113    23.320393   21.83281    19.32102
  17.905876   15.752899   16.623669   15.014884   13.458199   12.484617
  10.099724    8.802458    7.0612154   6.487705    5.564631    4.2582245
   3.7441812   3.401936    4.240438    4.6700745   3.7117732   3.2735984
   3.4664304   3.1284714   4.3220353   5.86841     7.495673    8.873966
  10.06134    10.73111    12.299335   12.581297   12.748125   13.744653
  15.689781   17.764606   19.747187   23.004177   26.280466   28.83156
  31.09724    34.098457   36.900253   41.33712    44.99199    48.757957
  51.619194   55.943935   58.940845   63.073616   66.4041     70.932465
  76.46855    80.79599    84.33946    88.33859    92.477615   96.83411
 100.4615    105.72542   108.184105  112.006355  116.68594   119.761024
 123.54547   128.1317    128.93674   133.25166   134.9624    137.09932
 138.19472   139.93507   140.88348   142.4915    144.56541   146.94289  ]",94.30576424,9.711115499,0.990570999,weighted13,6
14,"[102.41237   100.772385   97.31491    95.33668    94.37254    92.283806
  91.74217    90.30878    90.87114    88.12231    84.10504    81.18419
  79.390495   77.58982    75.59241    74.43894    72.61358    69.899445
  67.692215   65.77181    65.05228    62.187485   58.768223   56.645206
  54.35121    52.735733   51.40585    48.72685    46.243576   44.323097
  41.860218   39.086117   37.982937   35.3085     33.117176   32.18766
  30.722616   28.424965   28.152952   25.543098   23.6489     22.75847
  20.674044   20.426888   20.308687   18.442379   17.056387   14.789957
  13.651517   12.120406   12.929649   11.775145   10.67836    10.239815
   8.559407    8.11496     6.6746526   6.65572     6.3316903   5.8115478
   6.174695    6.945529    8.378815    9.605024    9.659554   10.362251
  11.944644   12.986577   14.92676    17.172386   19.934776   22.552197
  25.06424    26.932947   29.21134    30.31954    31.717636   33.922546
  37.049854   39.992455   42.202965   45.7457     49.617348   52.848732
  55.8035     59.195953   61.771915   66.03345    69.73794    73.55387
  76.57907    80.61057    82.661285   86.208176   89.079956   92.83721
  97.94991   101.09992   103.59697   106.6809    109.94881   113.258064
 115.6096    119.887695  121.10492   123.33645   126.55458   128.0973
 130.58295   134.0363    133.9224    136.516     136.65771   137.25345
 136.88144   137.55325   137.92326   137.95367   138.48578   139.8309   ]",114.9114877,10.71967759,0.990741309,weighted13,6
15,"[103.137726   101.14499     97.489784    95.29717     94.00175
  91.442154    89.95607     88.08289     88.67237     85.97191
  82.10538     79.09162     76.3459      74.46402     72.96371
  71.776596    69.90705     67.28598     64.580826    61.913815
  61.432724    59.060085    55.470142    53.1965      50.55267
  48.508442    47.134655    44.503574    41.81812     39.59792
  36.78089     33.489086    32.188515    29.626293    27.347328
  26.187754    24.426342    21.857264    21.21029     18.750156
  16.648436    15.512073    13.285865    12.838244    12.6356535
  10.928376     9.442597     7.188251     5.852577     4.4097476
   5.257365     4.3300138    3.4139447    3.2771835    1.5813631
   1.6737735    0.27223697   0.74805355   0.8426976    0.7199727
   1.5698982    3.0115983    5.024196     7.15323      8.016599
   9.643655    12.118544    14.058537    16.752302    20.017696
  23.77192     27.520878    31.095345    34.101776    37.479996
  40.00047     42.704445    46.350624    50.777596    54.83889
  57.790916    62.60658     67.68623     71.938934    75.88843
  80.615746    83.647644    88.99754     93.56619     98.286446
 102.14199    106.64233    108.57887    112.96493    116.41891
 120.488686   126.11018    129.22337    131.6378     135.20396
 138.8036     142.21767    144.40385    148.67906    149.38445
 151.52922    154.14856    155.50299    157.3655     160.32141
 159.9793     161.87035    161.39049    161.28381    160.08022
 160.20462    160.11784    159.21735    158.52946    159.34692   ]",283.3425318,16.83278146,0.992209064,weighted13,6
16,"[ 75.70434   73.09223   70.31268   68.20748   66.54842   63.989544
  61.57584   58.900814  59.74748   57.680313  54.724995  52.264637
  48.615578  46.77778   46.820854  45.87727   44.81257   42.92764
  40.339394  37.345367  37.344833  36.53146   33.56447   32.090137
  30.039198  28.099592  27.391043  25.97848   24.153982  22.563818
  20.588152  17.698545  17.162365  16.244432  15.187911  14.944068
  13.948975  12.365502  12.255668  11.358729  10.344044  10.424726
   9.690017  10.322079  10.700037  10.473948  10.031635   9.450394
   9.425932   9.734614  11.177411  11.626342  12.096562  13.579646
  13.623123  15.225618  14.623459  16.130116  17.192043  18.381964
  20.664656  23.611443  26.039194  28.981266  31.08259   33.840847
  38.003456  41.58235   44.384167  47.783314  52.304543  56.65568
  61.50456   65.51323   68.493225  71.13443   74.512794  78.62213
  83.872604  88.42277   90.38238   94.27448   99.01629  103.082344
 107.041145 111.46046  113.193886 116.8382   120.46746  124.17452
 127.37961  130.86429  130.93303  133.42029  135.68953  138.08746
 142.379    143.525    144.3354   145.83592  147.8986   149.68843
 149.7655   152.4129   151.69107  151.27037  151.94084  151.40086
 151.56009  152.87878  151.81932  151.16548  148.72333  146.72334
 143.89381  142.75093  142.49808  139.63373  137.12909  136.68472 ]",156.03999,12.49159678,0.993509257,weighted13,6
17,"[ 56.107925   53.239086   51.256428   49.506416   47.823166   45.53351
  42.930286   39.908333   40.863327   39.385754   37.12997    35.175343
  31.340359   29.656105   30.550505   29.78657    29.220947   27.78828
  25.524776   22.6369     22.770876   22.75046    20.162333   19.181274
  17.61821    15.926914   15.489621   14.788458   13.483007   12.320483
  11.078317    8.7015085   8.589326    8.624775    8.353181    8.749263
   8.511949    7.8279943   8.170635    8.258282    8.085668    9.052977
   9.578658   11.200761   12.14721    12.990006   13.497521   14.180339
  15.358283   17.132767   19.151562   20.619167   22.256462   25.025347
  26.483753   29.231398   29.439886   31.65215    33.542774   35.859055
  39.043083   42.860188   45.5288     48.82883    51.736454   55.157845
  60.10088    64.35402    67.03827    70.241905   74.84679    79.16807
  84.281204   88.35365    90.68963    93.00126    96.20918    99.91801
 104.99947   109.318474  110.27801   113.02815   116.80037   120.12314
 123.46157   127.00295   127.64593   129.63402   131.96782   134.36392
 136.59697   139.01051   137.74962   138.50342   139.44334   140.28008
 143.17166   142.81027   142.4503    142.2313    142.92564   143.41306
 141.94336   143.35489   141.75699   139.51892   138.99466   137.1107
 136.25212   136.46518   134.90367   132.75812   129.20926   126.256584
 122.585686  120.56457   120.28943   116.47096   113.1551    112.0004   ]",122.2658642,11.05738957,0.994772025,weighted13,6
18,"[ 2.75260029e+01  2.44049301e+01  2.34595451e+01  2.22953186e+01
  2.07032623e+01  1.88972435e+01  1.64355927e+01  1.29606886e+01
  1.37779589e+01  1.31026430e+01  1.16643715e+01  1.03559370e+01
  6.71744537e+00  5.31659317e+00  7.06407547e+00  6.57911015e+00
  6.68376017e+00  5.82517195e+00  4.28396463e+00  2.16232395e+00
  2.50005221e+00  3.36366796e+00  1.50512362e+00  1.45422864e+00
  8.52340877e-01  4.64116335e-02  2.99617231e-01  7.37775683e-01
  5.02603710e-01  3.80999774e-01  6.16229355e-01 -3.98266256e-01
  5.63545883e-01  2.14267492e+00  3.35953045e+00  5.19330788e+00
  6.50906849e+00  7.57525063e+00  9.08997536e+00  1.08404903e+01
  1.23169231e+01  1.50913296e+01  1.78960590e+01  2.12336254e+01
  2.32950974e+01  2.58827801e+01  2.80717678e+01  3.09023018e+01
  3.41141930e+01  3.81015472e+01  4.09941940e+01  4.39467354e+01
  4.72311096e+01  5.17329102e+01  5.52680054e+01  5.92955551e+01
  6.05640144e+01  6.34083290e+01  6.60803680e+01  6.95967026e+01
  7.36561432e+01  7.80954666e+01  8.04203644e+01  8.34388580e+01
  8.67698135e+01  9.02416153e+01  9.54667892e+01  9.98846741e+01
  1.01547020e+02  1.03477585e+02  1.07175545e+02  1.10295883e+02
  1.14851143e+02  1.18094688e+02  1.18439674e+02  1.19141365e+02
  1.20962936e+02  1.22874237e+02  1.26652733e+02  1.29839493e+02
  1.28659103e+02  1.28719391e+02  1.30123276e+02  1.31539902e+02
  1.33183304e+02  1.34588013e+02  1.33327164e+02  1.32054626e+02
  1.31912079e+02  1.31770767e+02  1.31982224e+02  1.32541504e+02
  1.29526489e+02  1.27230568e+02  1.26004898e+02  1.24486366e+02
  1.24950317e+02  1.22612045e+02  1.20831207e+02  1.17872551e+02
  1.16524544e+02  1.15268593e+02  1.11808304e+02  1.11408440e+02
  1.09106857e+02  1.04514252e+02  1.02714821e+02  9.93807526e+01
  9.74312744e+01  9.62850494e+01  9.44380875e+01  9.06225586e+01
  8.60391235e+01  8.22642136e+01  7.80222015e+01  7.51186981e+01
  7.52279968e+01  7.06945038e+01  6.69079437e+01  6.50341644e+01]",95.45550412,9.77013327,0.99556109,weighted13,6
19,"[ 29.300545   26.242722   24.939714   23.772451   22.194695   20.35011
  18.015945   14.516674   14.434171   13.805587   12.444404   11.134775
   7.828522    6.806658    8.195831    7.657144    7.5899544   6.7071924
   5.507653    4.0989213   4.5270658   5.270866    3.665741    3.870549
   3.5653522   3.6593287   4.310908    5.0048437   5.1930275   5.596948
   6.5526857   6.59088     8.355382   10.36399    12.238706   14.884898
  17.151995   19.26982    21.805157   24.24153    26.528276   30.189213
  33.993023   37.96872    40.886547   44.27289    47.301994   51.044548
  54.964325   59.529316   62.91873    66.36922    70.15017    75.0713
  78.89614    82.85533    84.45339    87.22392    89.819595   93.32443
  96.880356  100.544754  102.33951   104.739395  107.49426   110.16779
 114.20039   117.40888   118.166595  119.044556  121.19479   122.792725
 125.72561   127.63085   126.92686   126.654175  126.88862   127.2623
 129.30031   131.30911   129.25934   128.19629   128.03821   128.12904
 128.24965   128.59723   126.9488    124.76872   123.35783   122.15103
 121.23156   121.076706  118.0543    115.23523   113.26078   111.19134
 110.65374   108.244545  106.582115  103.407974  101.76216   100.506004
  97.087      96.50495    94.51232    90.301765   88.86447    85.81443
  84.17921    82.97685    81.28912    78.255165   74.35821    71.289604
  67.696655   64.841225   65.01334    61.432995   58.36171    56.583225 ]",73.07680897,8.548497468,0.995680591,weighted13,6
