Unnamed: 0,predict_data,mse,rmse,smooth,skip,result_corr
15,60.343044 33.528347 26.027493 48.364143 50.282066 68.50397  44.8215 21.786367 55.178516 26.74301  23.118874 53.65079 ,3447.789,58.71787685620113,weighted6,6,-0.150109340802969
16, 51.874992  31.27647   16.245216  58.645943  38.458572  79.488335  31.681952  52.245384  55.526215 -12.312583  17.2654    41.173702,6279.959,79.24619223896502,weighted6,6,-0.05501808774277143
17,44.8546   35.94287  37.67002  72.703766 45.43024  66.89976  48.01526 43.622356 47.059074 34.64754  36.095837 53.07568 ,4021.1882,63.4128396495684,weighted6,6,0.22098445051471965
18,56.07944  18.664722 36.033623 66.982544 54.67176  68.6629   65.23299 36.492065 31.350468 69.90201  29.126019 70.782814,2947.9111,54.29466946959434,weighted6,6,-0.05399783844792064
19,44.405937  3.978853 29.336323 53.043667 69.03993  50.021515 52.197914 43.323666 23.30941  45.052284 26.020672 42.892235,6136.61,78.33651679313581,weighted6,6,0.1947778799359233
20,37.406494 14.768426 31.082483 70.44639  50.884502 48.104023 22.54626 45.38944  67.974014 -4.5292   53.988403 30.013885,7496.467,86.58213901766922,weighted6,6,0.243566742093733
21,38.58583  14.206208 46.98862  64.96603  63.524296 62.09983  54.304413 32.67892  66.67927  32.25849  43.743877 55.246666,3988.3606,63.15346859597757,weighted6,6,-0.19641160823845238
22,49.616898   7.1579638 38.197865  55.294758  41.926186  67.17764 61.921005  53.74339   14.134417  62.685436  35.694775  53.021004 ,2996.9148,54.744084565566304,weighted6,6,-0.36130852704244076
23,51.487545   0.5290658 29.093277  70.846016  67.385506  46.201324 59.34186   30.729687  54.060596  48.848915  43.629112  53.60553  ,3575.7517,59.79758949141993,weighted6,6,0.20936022295494566
24,34.116905 -4.86757  24.19387  60.627747 54.464546 53.215584 47.3354 42.81904  55.96892  24.266907 25.608587 38.25004 ,6823.576,82.60494035997483,weighted6,6,0.348991784389709
25,42.11067  27.081184 46.67261  56.6867   45.86359  50.573093 58.061726 22.132032 61.838043 31.723999 58.001095 56.92444 ,4965.2163,70.46429101746324,weighted6,6,-0.1785519159229838
26,41.196735 21.82956  59.826366 55.948093 43.155785 79.949066 82.29538 33.46144  38.61942  62.234306 46.90152  66.14649 ,2443.5193,49.43196624765573,weighted6,6,-0.4528067511135141
27,40.952618  9.692822 27.461222 69.03448  64.014694 62.698578 62.92487 29.68987  40.315315 72.88063  28.48696  66.21778 ,3353.5232,57.90961227084304,weighted6,6,0.13922397720931473
28,34.479893  4.649339 24.737162 54.41362  59.269466 65.46805  64.927086 18.127554 49.574875 34.772697 11.193248 46.226162,11050.832,105.12293770272024,weighted6,6,0.0741186274440182
29,41.820442   -0.16001074 22.574177   62.6509     62.36997    66.37215 54.123135   17.899961   66.45136    38.801872   39.12981    70.58586   ,12993.848,113.99055950494322,weighted6,6,0.007946748776189755
