timestamp,value
184704,138.4
184705,152.5
184706,161
184707,170.8
184708,182.1
184709,188.4
184710,194.3
184711,200.5
184712,205.4
184801,214.5
184802,219.9
184803,215.2
184804,207.6
184805,202.6
184806,204.4
184807,209.2
184808,213.3
184809,216
184810,216.7
184811,216.7
184812,213.4
184901,207.4
184902,200.1
184903,196.7
184904,193.6
184905,189.9
184906,186.4
184907,176.8
184908,167.2
184909,162.7
184910,157
184911,150.9
184912,148.5
185001,144.6
185002,141
185003,139.9
185004,139.3
185005,135.7
185006,129.4
185007,126.3
185008,127.4
185009,127.3
185010,126.8
185011,127.9
185012,127.4
185101,126.6
185102,126.1
185103,124.3
185104,122.2
185105,121.2
185106,121.7
185107,121.9
185108,118.3
185109,114.9
185110,115.4
185111,115.5
185112,113.6
185201,112.8
185202,111.8
185203,108
185204,106
185205,106.6
185206,104.8
185207,100.6
185208,96.6
185209,92.9
185210,89.6
185211,86.6
185212,84.5
185301,84.2
185302,85.4
185303,85.9
185304,83.6
185305,79.6
185306,75.9
185307,72.1
185308,68.3
185309,65.1
185310,62.1
185311,59.6
185312,57.3
185401,53.6
185402,48.7
185403,45.1
185404,41.9
185405,39.5
185406,39.3
185407,38.9
185408,38
185409,37
185410,35
185411,32.1
185412,29.6
185501,26.9
185502,24.5
185503,21.7
185504,19.7
185505,17.5
185506,14.2
185507,11.8
185508,10.3
185509,8.5
185510,7.3
185511,6.7
185512,6
185601,6.3
185602,6.9
185603,7.5
185604,7.4
185605,7.3
185606,7.9
185607,9.3
185608,10.5
185609,11.1
185610,11.8
185611,14.5
185612,17.6
185701,19.8
185702,22.1
185703,26
185704,31.8
185705,36.6
185706,40.8
185707,45.2
185708,49.4
185709,55.7
185710,62
185711,65.1
185712,68.4
185801,73.4
185802,79.1
185803,85.2
185804,92.2
185805,97.8
185806,101.8
185807,107.6
185808,115.3
185809,122.1
185810,128.5
185811,136.1
185812,143.4
185901,149.8
185902,157
185903,163.1
185904,167
185905,172.4
185906,177.1
185907,178.1
185908,178.1
185909,178.8
185910,178.4
185911,178.5
185912,181.5
186001,185
186002,186.2
186003,184.6
186004,181.5
186005,179.7
186006,180.9
186007,180.4
186008,178
186009,177.3
186010,179.6
186011,177.8
186012,172.2
186101,167.5
186102,163
186103,160.6
186104,157.9
186105,152.6
186106,147.8
186107,146.7
186108,145.7
186109,140.1
186110,132
186111,129.1
186112,129.4
186201,128.7
186202,126.7
186203,124.1
186204,121
186205,118.8
186206,115.4
186207,111.1
186208,109.3
186209,110.5
186210,111.3
186211,109.4
186212,105.1
186301,98.5
186302,94.1
186303,89.4
186304,85.7
186305,84.5
186306,83.5
186307,84.3
186308,84.3
186309,83.5
186310,83.1
186311,81.7
186312,82
186401,85.1
186402,87.4
186403,88.5
186404,88.5
186405,89.6
186406,90.2
186407,88.5
186408,87.1
186409,84.4
186410,81.8
